Feature ID,0,1,2,3,4,5
RFN20,Bacteria,Tenericutes,Unknown,Unknown,vadinHA31,RFN20
Fusobacterium,Bacteria,Fusobacteria,Fusobacteria (class),Fusobacteriales,Fusobacteriaceae,Fusobacterium
Selenomonas,Bacteria,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Selenomonas
Catenibacterium,Bacteria,Tenericutes,Erysipelotrichi,Erysipelotrichales,Erysipelotrichaceae,Catenibacterium
Sutterella,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Sutterella
Veillonella,Bacteria,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Veillonella
Campylobacter,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter
p-75-a5,Bacteria,Tenericutes,Erysipelotrichi,Erysipelotrichales,Erysipelotrichaceae,p-75-a5
Bulleidia,Bacteria,Tenericutes,Erysipelotrichi,Erysipelotrichales,Erysipelotrichaceae,Bulleidia
Mitsuokella,Bacteria,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Mitsuokella
Succinivibrio,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinivibrio
Sarcina,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Sarcina
Treponema,Bacteria,Spirochaetes,Spirochaetes (class),Spirochaetales,Spirochaetaceae,Treponema
Haemophilus,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus
Prevotella,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella
Actinobacillus,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus
Methanosphaera,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanosphaera
Megasphaera,Bacteria,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Megasphaera
