Feature ID,0,1,2,3,4,5
Vagococcus,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Vagococcus
Shewanella,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella
Nitrobacter,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Nitrobacter
Kineosporia,Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Kineosporiaceae,Kineosporia
Lactobacillus,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
Oceanimonas,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Oceanimonas
Buchnera,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Buchnera
Pseudomonas,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Pseudomonadaceae,Pseudomonas
Piscibacillus,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Piscibacillus
Turicibacter,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Turicibacter
Diaphorobacter,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Diaphorobacter
Thermomonas,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Thermomonas
Alloiococcus,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Alloiococcus
Saccharothrix,Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Actinosynnemataceae,Saccharothrix
Aeromonas,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas
Staphylococcus,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
Shuttleworthia,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Shuttleworthia
Dechloromonas,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Dechloromonas
Cycloclasticus,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Piscirickettsiaceae,Cycloclasticus
Pseudobutyrivibrio,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Pseudobutyrivibrio
Mycobacterium,Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Mycobacteriaceae,Mycobacterium
Sphingopyxis,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingopyxis
Desulfocapsa,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfocapsa
Deinococcus,Bacteria,Thermi,Deinococci,Deinococcales,Deinococcaceae,Deinococcus
Pedomicrobium,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Pedomicrobium
Blautia,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia
Candidatus Blochmannia,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Candidatus Blochmannia
Amphritea,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Amphritea
Cytophaga,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Flexibacteraceae,Cytophaga
Kouleothrix,Bacteria,Chloroflexi,Chloroflexi (class),Roseiflexales,Kouleothrixaceae,Kouleothrix
Parabacteroides,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Parabacteroides
Adlercreutzia,Bacteria,Actinobacteria,Actinobacteria (class),Coriobacteriales,Coriobacteriaceae,Adlercreutzia
Congregibacter,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Unknown,Congregibacter
Candidatus Entotheonella,Bacteria,Proteobacteria,Deltaproteobacteria,Entotheonellales,Entotheonellaceae,Candidatus Entotheonella
Aerococcus,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus
Crenothrix,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Crenotrichaceae,Crenothrix
Dethiobacter,Bacteria,Firmicutes,Clostridia,Natranaerobiales,Anaerobrancaceae,Dethiobacter
Haliscomenobacter,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Saprospiraceae,Haliscomenobacter
Methylocystis,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylocystaceae,Methylocystis
Catonella,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Catonella
Alistipes,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
Xanthomonas,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas
Xenorhabdus,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Xenorhabdus
Coxiella,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,Coxiella
Luteibacter,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Luteibacter
Methylophaga,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Methylophaga
Thiococcus,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Thiococcus
Phycicoccus,Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Intrasporangiaceae,Phycicoccus
Syntrophomonas,Bacteria,Firmicutes,Clostridia,Clostridiales,Syntrophomonadaceae,Syntrophomonas
Mechercharimyces,Bacteria,Firmicutes,Bacilli,Bacillales,Thermoactinomycetaceae,Mechercharimyces
Dialister,Bacteria,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Dialister
Marinibacillus,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Marinibacillus
Chelatococcus,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Chelatococcus
Laribacter,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Laribacter
Methanosarcina,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina
Curtobacterium,Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Microbacteriaceae,Curtobacterium
Methylibium,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Unknown,Methylibium
Pleomorphomonas,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylocystaceae,Pleomorphomonas
Methylopila,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylocystaceae,Methylopila
Sphingobacterium,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium
Thermomonospora,Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Thermomonosporaceae,Thermomonospora
Slackia,Bacteria,Actinobacteria,Actinobacteria (class),Coriobacteriales,Coriobacteriaceae,Slackia
Thalassobacillus,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Thalassobacillus
Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Bacteroides,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Bacteroides
Faecalibacterium,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium
Salinibacillus,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Salinibacillus
Cryptosporangium,Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Cryptosporangiaceae,Cryptosporangium
Sphaerospermopsis,Bacteria,Cyanobacteria,Unknown,Nostocales,Nostocaceae,Sphaerospermopsis
Phenylobacterium,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium
Haloplasma,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Haloplasma
Ethanoligenens,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ethanoligenens
Asticcacaulis,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Asticcacaulis
Actinoalloteichus,Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Pseudonocardiaceae,Actinoalloteichus
Methanothermobacter,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanothermobacter
Rummeliibacillus,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Rummeliibacillus
Sporotalea,Bacteria,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Sporotalea
Aquicella,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,Aquicella
Histophilus,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Histophilus
Tissierella,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales Family XI. Incertae Sedis,Tissierella
Candidatus Nitrososphaera,Archaea,Crenarchaeota,Thaumarchaeota,Nitrososphaerales,Nitrososphaeraceae,Candidatus Nitrososphaera
Caldilinea,Bacteria,Chloroflexi,Anaerolineae,Caldilineales,Caldilineaceae,Caldilinea
Marmoricola,Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Nocardioidaceae,Marmoricola
Pseudoramibacter,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Pseudoramibacter
Brasilonema,Bacteria,Cyanobacteria,Unknown,Nostocales,Scytonemataceae,Brasilonema
Pontibacter,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Flexibacteraceae,Pontibacter
Ignatzschineria,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Ignatzschineria
Acidomonas,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acidomonas
Leptolyngbya,Bacteria,Cyanobacteria,Unknown,Oscillatoriales,Unknown,Leptolyngbya
Mitsuaria,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Unknown,Mitsuaria
Coriobacterium,Bacteria,Actinobacteria,Actinobacteria (class),Coriobacteriales,Coriobacteriaceae,Coriobacterium
Sphingomonas,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas
Lampropedia,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Lampropedia
Thermus,Bacteria,Thermi,Deinococci,Thermales,Thermaceae,Thermus
Wautersiella,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Wautersiella
Bacteria_Firmicutes_Bacilli_Bacillales_Planococcaceae_Bacillus,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Bacillus
Pasteurella,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Pasteurella
Corallococcus,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus
Thiomonas,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Unknown,Thiomonas
Candidatus Solibacter,Bacteria,Acidobacteria,Solibacteres,Solibacterales,Solibacteraceae,Candidatus Solibacter
Photorhabdus,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Photorhabdus
Hymenobacter,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Flexibacteraceae,Hymenobacter
E4,Bacteria,Deferribacteres,Deferribacteres (class),Deferribacterales,Deferribacteraceae,E4
Aminiphilus,Bacteria,Synergistetes,Synergistia,Synergistales,Aminiphilaceae,Aminiphilus
Limnobacter,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Limnobacter
Fructobacillus,Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Fructobacillus
Brachyspira,Bacteria,Spirochaetes,Brachyspirae,Brachyspirales,Brachyspiraceae,Brachyspira
Conchiformibius,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Conchiformibius
Actinokineospora,Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Actinosynnemataceae,Actinokineospora
Flavobacterium,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Flavobacterium
Halomonas,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas
Corynebacterium,Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Corynebacteriaceae,Corynebacterium
Desulfococcus,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Desulfobacteraceae,Desulfococcus
Anaerovorax,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales Family XIII. Incertae Sedis,Anaerovorax
Sulfurimonas,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Sulfurimonas
Aneurinibacillus,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Aneurinibacillus
Ureibacillus,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Ureibacillus
Edwardsiella,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Edwardsiella
Filifactor,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Filifactor
Solibacillus,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Solibacillus
Phyllobacterium,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Phyllobacterium
Anaeroglobus,Bacteria,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Anaeroglobus
Pseudoclavibacter,Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Microbacteriaceae,Pseudoclavibacter
Segetibacter,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Unknown,Segetibacter
Methylotenera,Bacteria,Proteobacteria,Betaproteobacteria,Methylophilales,Methylophilaceae,Methylotenera
Volucribacter,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Volucribacter
Gallionella,Bacteria,Proteobacteria,Betaproteobacteria,Gallionellales,Gallionellaceae,Gallionella
Janthinobacterium,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Janthinobacterium
Alkalimonas,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Unknown,Alkalimonas
TG5,Bacteria,Synergistetes,Synergistia,Synergistales,Dethiosulfovibrionaceae,TG5
Nannocystis,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Nannocystaceae,Nannocystis
Planctomyces,Bacteria,Planctomycetes,Planctomycea,Planctomycetales,Planctomycetaceae,Planctomyces
Jonquetella,Bacteria,Synergistetes,Synergistia,Synergistales,Dethiosulfovibrionaceae,Jonquetella
Microbispora,Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Streptosporangiaceae,Microbispora
Amycolatopsis,Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Pseudonocardiaceae,Amycolatopsis
Hydrogenophaga,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Hydrogenophaga
Procabacter,Bacteria,Proteobacteria,Betaproteobacteria,Procabacteriales,Procabacteriaceae,Procabacter
Lutibacterium,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Lutibacterium
Buttiauxella,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Buttiauxella
Macrococcus,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Macrococcus
Luedemannella,Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Micromonosporaceae,Luedemannella
Frankia,Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Frankiaceae,Frankia
Allochromatium,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Allochromatium
Chitinophaga,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Unknown,Chitinophaga
Azohydromonas,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Azohydromonas
Leptotrichia,Bacteria,Fusobacteria,Fusobacteria (class),Fusobacteriales,Fusobacteriaceae,Leptotrichia
Azorhizobium,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Azorhizobium
Chelativorans,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Chelativorans
Streptosporangium,Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Streptosporangiaceae,Streptosporangium
Terracoccus,Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Intrasporangiaceae,Terracoccus
Methylosphaera,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methylosphaera
Erwinia,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Erwinia
Aquabacterium,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Unknown,Aquabacterium
Curvibacter,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Curvibacter
Haematobacter,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Haematobacter
Morganella,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Morganella
Acidiphilium,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acidiphilium
Acidovorax,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax
Jonesia,Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Jonesiaceae,Jonesia
Synergistes,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Synergistes
Hylemonella,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Hylemonella
Pimelobacter,Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Nocardioidaceae,Pimelobacter
Symbiobacterium,Bacteria,Firmicutes,Clostridia,Clostridiales,Symbiobacteriaceae,Symbiobacterium
Arsenicicoccus,Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Intrasporangiaceae,Arsenicicoccus
Demequina,Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Cellulomonadaceae,Demequina
Shimazuella,Bacteria,Firmicutes,Bacilli,Bacillales,Thermoactinomycetaceae,Shimazuella
Thalassomonas,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Thalassomonas
Porphyromonas,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas
Alkanindiges,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Alkanindiges
Labrys,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Labrys
Pseudoalteromonas,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas
Gluconacetobacter,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Gluconacetobacter
Schlegelella,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Schlegelella
Streptobacillus,Bacteria,Fusobacteria,Fusobacteria (class),Fusobacteriales,Fusobacteriaceae,Streptobacillus
Actinomadura,Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Thermomonosporaceae,Actinomadura
Rhodopirellula,Bacteria,Planctomycetes,Planctomycea,Pirellulales,Unknown,Rhodopirellula
Williamsia,Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Williamsiaceae,Williamsia
Micrococcus,Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Micrococcaceae,Micrococcus
Thiorhodovibrio,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Thiorhodovibrio
Brevundimonas,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas
Sebaldella,Bacteria,Fusobacteria,Fusobacteria (class),Fusobacteriales,Fusobacteriaceae,Sebaldella
Novispirillum,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Novispirillum
Bdellovibrio,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio
Cryobacterium,Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Microbacteriaceae,Cryobacterium
Desulfitobacterium,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfitobacterium
Microtetraspora,Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Streptosporangiaceae,Microtetraspora
Acetivibrio,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Acetivibrio
Acidaminococcus,Bacteria,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Acidaminococcus
Salmonella,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Salmonella
Desulfobacterium,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Desulfobacteraceae,Desulfobacterium
