Feature ID,0,1,2,3,4,5
Chlamydia,Bacteria,Chlamydiae,Chlamydiae (class),Chlamydiales,Chlamydiaceae,Chlamydia
Aerococcus,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus
Dehalobacterium,Bacteria,Firmicutes,Clostridia,Clostridiales,Dehalobacteriaceae,Dehalobacterium
Saccharothrix,Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Actinosynnemataceae,Saccharothrix
Nocardioides,Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Nocardioidaceae,Nocardioides
Hydrocarboniphaga,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Sinobacteraceae,Hydrocarboniphaga
Salinibacillus,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Salinibacillus
Tetrasphaera,Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Intrasporangiaceae,Tetrasphaera
Alloscardovia,Bacteria,Actinobacteria,Actinobacteria (class),Bifidobacteriales,Bifidobacteriaceae,Alloscardovia
Verrucosispora,Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Micromonosporaceae,Verrucosispora
Methylophaga,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Methylophaga
Methylosinus,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylocystaceae,Methylosinus
Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiales Family XIII. Incertae Sedis_Eubacterium,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales Family XIII. Incertae Sedis,Eubacterium
Azorhizobium,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Azorhizobium
Methylococcus,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methylococcus
Mannheimia,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia
Nannocystis,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Nannocystaceae,Nannocystis
Anaerovorax,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales Family XIII. Incertae Sedis,Anaerovorax
Aurantimonas,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Aurantimonadaceae,Aurantimonas
Salinimonas,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Salinimonas
Bergeriella,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Bergeriella
Limnobacter,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Limnobacter
Basfia,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Basfia
Photobacterium,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium
Geobacillus,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Geobacillus
Rhodopseudomonas,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Rhodopseudomonas
Ensifer,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Ensifer
Luedemannella,Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Micromonosporaceae,Luedemannella
Thiothrix,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,Thiothrix
Macrococcus,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Macrococcus
Piscibacillus,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Piscibacillus
Kouleothrix,Bacteria,Chloroflexi,Chloroflexi (class),Roseiflexales,Kouleothrixaceae,Kouleothrix
Chromobacterium,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Chromobacterium
Balneimonas,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Balneimonas
Jiangella,Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Pseudonocardiaceae,Jiangella
Citrobacter,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Citrobacter
Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Bacteroides,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Bacteroides
Oceanobacillus,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Oceanobacillus
Leptotrichia,Bacteria,Fusobacteria,Fusobacteria (class),Fusobacteriales,Fusobacteriaceae,Leptotrichia
Paludibacter,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Paludibacter
Anaeroglobus,Bacteria,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Anaeroglobus
Photorhabdus,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Photorhabdus
Mobiluncus,Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Actinomycetaceae,Mobiluncus
Microtetraspora,Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Streptosporangiaceae,Microtetraspora
Crossiella,Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Pseudonocardiaceae,Crossiella
Salinicoccus,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Salinicoccus
Dermabacter,Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Dermabacteraceae,Dermabacter
Capnocytophaga,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Capnocytophaga
Sharpea,Bacteria,Tenericutes,Erysipelotrichi,Erysipelotrichales,Erysipelotrichaceae,Sharpea
Hydrogenophilus,Bacteria,Proteobacteria,Betaproteobacteria,Hydrogenophilales,Hydrogenophilaceae,Hydrogenophilus
Jonquetella,Bacteria,Synergistetes,Synergistia,Synergistales,Dethiosulfovibrionaceae,Jonquetella
Reinekea,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Unknown,Reinekea
Rhodococcus,Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Nocardiaceae,Rhodococcus
Enterococcus,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus
Methanosarcina,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina
Arsenophonus,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Arsenophonus
Leptothrix,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Unknown,Leptothrix
Crenothrix,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Crenotrichaceae,Crenothrix
Edwardsiella,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Edwardsiella
Ewingella,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Ewingella
Herpetosiphon,Bacteria,Chloroflexi,Chloroflexi (class),Herpetosiphonales,Herpetosiphonaceae,Herpetosiphon
Pseudoxanthomonas,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Pseudoxanthomonas
Polynucleobacter,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Polynucleobacter
Methylocystis,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylocystaceae,Methylocystis
Xanthobacter,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Xanthobacter
Gardnerella,Bacteria,Actinobacteria,Actinobacteria (class),Bifidobacteriales,Bifidobacteriaceae,Gardnerella
Methylosphaera,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methylosphaera
Lentibacillus,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Lentibacillus
Gemella,Bacteria,Firmicutes,Bacilli,Bacillales,Unknown,Gemella
Lautropia,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Lautropia
Coriobacterium,Bacteria,Actinobacteria,Actinobacteria (class),Coriobacteriales,Coriobacteriaceae,Coriobacterium
Alkalibacillus,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Alkalibacillus
Micrococcus,Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Micrococcaceae,Micrococcus
Sodalis,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Sodalis
Bosea,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bosea
Azohydromonas,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Azohydromonas
Afipia,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Afipia
Modestobacter,Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Geodermatophilaceae,Modestobacter
Actinomadura,Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Thermomonosporaceae,Actinomadura
Shewanella,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella
Mycoplasma,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma
Pediococcus,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus
Ammoniphilus,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Ammoniphilus
Stigmatella,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Cystobacteraceae,Stigmatella
Candidatus Amoebophilus,Bacteria,Bacteroidetes,Unknown,Unknown,Unknown,Candidatus Amoebophilus
Allobaculum,Bacteria,Tenericutes,Erysipelotrichi,Erysipelotrichales,Erysipelotrichaceae,Allobaculum
Alkalibacterium,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Alkalibacterium
Ochrobactrum,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Ochrobactrum
Dorea,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Dorea
Segetibacter,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Unknown,Segetibacter
Devosia,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Devosia
Kineococcus,Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Kineosporiaceae,Kineococcus
Blastomonas,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Blastomonas
Dickeya,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Dickeya
Methylophilus,Bacteria,Proteobacteria,Betaproteobacteria,Methylophilales,Methylophilaceae,Methylophilus
Thermoactinomyces,Bacteria,Firmicutes,Bacilli,Bacillales,Thermoactinomycetaceae,Thermoactinomyces
Scardovia,Bacteria,Actinobacteria,Actinobacteria (class),Bifidobacteriales,Bifidobacteriaceae,Scardovia
Pedomicrobium,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Pedomicrobium
Streptosporangium,Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Streptosporangiaceae,Streptosporangium
Thalassomonas,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Thalassomonas
Jonesia,Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Jonesiaceae,Jonesia
Haloplasma,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Haloplasma
Herbaspirillum,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Herbaspirillum
Cedecea,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Cedecea
Moritella,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Moritellaceae,Moritella
Dermatophilus,Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Dermatophilaceae,Dermatophilus
Bdellovibrio,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio
Arcobacter,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Arcobacter
