Feature ID	Taxon
Arthrobacter	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Micrococcaceae;Arthrobacter
Citricoccus	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Micrococcaceae;Citricoccus
Kocuria	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Micrococcaceae;Kocuria
Micrococcus	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Micrococcaceae;Micrococcus
Nesterenkonia	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Micrococcaceae;Nesterenkonia
Renibacterium	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Micrococcaceae;Renibacterium
Rothia	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Micrococcaceae;Rothia
Sinomonas	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Micrococcaceae;Sinomonas
Actinoplanes	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Micromonosporaceae;Actinoplanes
Catellatospora	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Micromonosporaceae;Catellatospora
Dactylosporangium	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Micromonosporaceae;Dactylosporangium
Luedemannella	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Micromonosporaceae;Luedemannella
Micromonospora	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Micromonosporaceae;Micromonospora
Verrucosispora	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Micromonosporaceae;Verrucosispora
Virgisporangium	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Micromonosporaceae;Virgisporangium
Mycobacterium	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Mycobacteriaceae;Mycobacterium
Nocardia	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Nocardiaceae;Nocardia
Rhodococcus	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Nocardiaceae;Rhodococcus
Aeromicrobium	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Nocardioidaceae;Aeromicrobium
Marmoricola	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Nocardioidaceae;Marmoricola
Nocardioides	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Nocardioidaceae;Nocardioides
Pimelobacter	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Nocardioidaceae;Pimelobacter
Propionicimonas	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Nocardioidaceae;Propionicimonas
Nocardiopsis	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Nocardiopsaceae;Nocardiopsis
Cellulosimicrobium	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Promicromonosporaceae;Cellulosimicrobium
Isoptericola	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Promicromonosporaceae;Isoptericola
Myceligenerans	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Promicromonosporaceae;Myceligenerans
Propionibacterium	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Propionibacteriaceae;Propionibacterium
Tessaracoccus	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Propionibacteriaceae;Tessaracoccus
Actinoalloteichus	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Pseudonocardiaceae;Actinoalloteichus
Actinomycetospora	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Pseudonocardiaceae;Actinomycetospora
Amycolatopsis	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Pseudonocardiaceae;Amycolatopsis
Crossiella	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Pseudonocardiaceae;Crossiella
Goodfellowiella	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Pseudonocardiaceae;Goodfellowiella
Jiangella	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Pseudonocardiaceae;Jiangella
Pseudonocardia	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Pseudonocardiaceae;Pseudonocardia
Saccharopolyspora	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Pseudonocardiaceae;Saccharopolyspora
Sporichthya	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Sporichthyaceae;Sporichthya
Streptomyces	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Streptomycetaceae;Streptomyces
Microbispora	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Streptosporangiaceae;Microbispora
Microtetraspora	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Streptosporangiaceae;Microtetraspora
Nonomuraea	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Streptosporangiaceae;Nonomuraea
Sphaerisporangium	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Streptosporangiaceae;Sphaerisporangium
Streptosporangium	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Streptosporangiaceae;Streptosporangium
Actinoallomurus	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Thermomonosporaceae;Actinoallomurus
Actinocorallia	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Thermomonosporaceae;Actinocorallia
Actinomadura	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Thermomonosporaceae;Actinomadura
Thermomonospora	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Thermomonosporaceae;Thermomonospora
Tsukamurella	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Tsukamurellaceae;Tsukamurella
Tropheryma	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Unknown;Tropheryma
Williamsia	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Williamsiaceae;Williamsia
Alloscardovia	Bacteria;Actinobacteria;Actinobacteria (class);Bifidobacteriales;Bifidobacteriaceae;Alloscardovia
Bifidobacterium	Bacteria;Actinobacteria;Actinobacteria (class);Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium
Gardnerella	Bacteria;Actinobacteria;Actinobacteria (class);Bifidobacteriales;Bifidobacteriaceae;Gardnerella
Parascardovia	Bacteria;Actinobacteria;Actinobacteria (class);Bifidobacteriales;Bifidobacteriaceae;Parascardovia
Scardovia	Bacteria;Actinobacteria;Actinobacteria (class);Bifidobacteriales;Bifidobacteriaceae;Scardovia
Adlercreutzia	Bacteria;Actinobacteria;Actinobacteria (class);Coriobacteriales;Coriobacteriaceae;Adlercreutzia
Atopobium	Bacteria;Actinobacteria;Actinobacteria (class);Coriobacteriales;Coriobacteriaceae;Atopobium
Collinsella	Bacteria;Actinobacteria;Actinobacteria (class);Coriobacteriales;Coriobacteriaceae;Collinsella
Coriobacterium	Bacteria;Actinobacteria;Actinobacteria (class);Coriobacteriales;Coriobacteriaceae;Coriobacterium
Eggerthella	Bacteria;Actinobacteria;Actinobacteria (class);Coriobacteriales;Coriobacteriaceae;Eggerthella
Olsenella	Bacteria;Actinobacteria;Actinobacteria (class);Coriobacteriales;Coriobacteriaceae;Olsenella
Slackia	Bacteria;Actinobacteria;Actinobacteria (class);Coriobacteriales;Coriobacteriaceae;Slackia
Rubrobacter	Bacteria;Actinobacteria;Actinobacteria (class);Rubrobacterales;Rubrobacteraceae;Rubrobacter
Patulibacter	Bacteria;Actinobacteria;Actinobacteria (class);Solirubrobacterales;Patulibacteraceae;Patulibacter
Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides
Dysgonomonas	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Dysgonomonas
Odoribacter	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Odoribacter
Paludibacter	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Paludibacter
Parabacteroides	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Parabacteroides
Porphyromonas	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas
Tannerella	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Tannerella
Prevotella	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella
Alistipes	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes
Candidatus Azobacteroides	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Unknown;Candidatus Azobacteroides
Capnocytophaga	Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Capnocytophaga
Chryseobacterium	Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Chryseobacterium
Elizabethkingia	Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Elizabethkingia
Flavobacterium	Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Flavobacterium
Gelidibacter	Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Gelidibacter
Kaistella	Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Kaistella
Sejongia	Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Sejongia
Wautersiella	Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Wautersiella
Algoriphagus	Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Cyclobacteriaceae;Algoriphagus
Aquiflexum	Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Cyclobacteriaceae;Aquiflexum
Belliella	Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Cyclobacteriaceae;Belliella
Cyclobacterium	Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Cyclobacteriaceae;Cyclobacterium
Echinicola	Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Cyclobacteriaceae;Echinicola
Adhaeribacter	Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Flexibacteraceae;Adhaeribacter
Cytophaga	Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Flexibacteraceae;Cytophaga
Dyadobacter	Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Flexibacteraceae;Dyadobacter
Emticicia	Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Flexibacteraceae;Emticicia
Flectobacillus	Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Flexibacteraceae;Flectobacillus
Hymenobacter	Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Flexibacteraceae;Hymenobacter
Pontibacter	Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Flexibacteraceae;Pontibacter
Salinibacter	Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Rhodothermaceae;Salinibacter
Haliscomenobacter	Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Saprospiraceae;Haliscomenobacter
Parapedobacter	Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Sphingobacteriaceae;Parapedobacter
Pedobacter	Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Sphingobacteriaceae;Pedobacter
Sphingobacterium	Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Sphingobacteriaceae;Sphingobacterium
Chitinophaga	Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Unknown;Chitinophaga
Flavisolibacter	Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Unknown;Flavisolibacter
Segetibacter	Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Unknown;Segetibacter
Candidatus Amoebophilus	Bacteria;Bacteroidetes;Unknown;Unknown;Unknown;Candidatus Amoebophilus
Chlamydia	Bacteria;Chlamydiae;Chlamydiae (class);Chlamydiales;Chlamydiaceae;Chlamydia
Caldilinea	Bacteria;Chloroflexi;Anaerolineae;Caldilineales;Caldilineaceae;Caldilinea
Herpetosiphon	Bacteria;Chloroflexi;Chloroflexi (class);Herpetosiphonales;Herpetosiphonaceae;Herpetosiphon
Kouleothrix	Bacteria;Chloroflexi;Chloroflexi (class);Roseiflexales;Kouleothrixaceae;Kouleothrix
Gloeotrichia	Bacteria;Cyanobacteria;Unknown;Nostocales;Nostocaceae;Gloeotrichia
Nostoc	Bacteria;Cyanobacteria;Unknown;Nostocales;Nostocaceae;Nostoc
Sphaerospermopsis	Bacteria;Cyanobacteria;Unknown;Nostocales;Nostocaceae;Sphaerospermopsis
Calothrix	Bacteria;Cyanobacteria;Unknown;Nostocales;Rivulariaceae;Calothrix
Brasilonema	Bacteria;Cyanobacteria;Unknown;Nostocales;Scytonemataceae;Brasilonema
Leptolyngbya	Bacteria;Cyanobacteria;Unknown;Oscillatoriales;Unknown;Leptolyngbya
Microcoleus	Bacteria;Cyanobacteria;Unknown;Oscillatoriales;Unknown;Microcoleus
Phormidium	Bacteria;Cyanobacteria;Unknown;Oscillatoriales;Unknown;Phormidium
E4	Bacteria;Deferribacteres;Deferribacteres (class);Deferribacterales;Deferribacteraceae;E4
Mucispirillum	Bacteria;Deferribacteres;Deferribacteres (class);Deferribacterales;Deferribacteraceae;Mucispirillum
Alicyclobacillus	Bacteria;Firmicutes;Bacilli;Bacillales;Alicyclobacillaceae;Alicyclobacillus
Alkalibacillus	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Alkalibacillus
Anaerobacillus	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Anaerobacillus
Anoxybacillus	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Anoxybacillus
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus
Geobacillus	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Geobacillus
Halobacillus	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Halobacillus
Halolactibacillus	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Halolactibacillus
Lentibacillus	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Lentibacillus
Natronobacillus	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Natronobacillus
Oceanobacillus	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Oceanobacillus
Piscibacillus	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Piscibacillus
Pontibacillus	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Pontibacillus
Salimicrobium	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Salimicrobium
Salinibacillus	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Salinibacillus
Sediminibacillus	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Sediminibacillus
Terribacillus	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Terribacillus
Thalassobacillus	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Thalassobacillus
Virgibacillus	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Virgibacillus
Listeria	Bacteria;Firmicutes;Bacilli;Bacillales;Listeriaceae;Listeria
Ammoniphilus	Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Ammoniphilus
Aneurinibacillus	Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Aneurinibacillus
Brevibacillus	Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Brevibacillus
Cohnella	Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Cohnella
Paenibacillus	Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus
Thermobacillus	Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Thermobacillus
Bacteria_Firmicutes_Bacilli_Bacillales_Planococcaceae_Bacillus	Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Bacillus
Kurthia	Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Kurthia
Lysinibacillus	Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Lysinibacillus
Marinibacillus	Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Marinibacillus
Planococcus	Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Planococcus
Planomicrobium	Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Planomicrobium
Rummeliibacillus	Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Rummeliibacillus
Solibacillus	Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Solibacillus
Sporosarcina	Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Sporosarcina
Ureibacillus	Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Ureibacillus
Viridibacillus	Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Viridibacillus
Sporolactobacillus	Bacteria;Firmicutes;Bacilli;Bacillales;Sporolactobacillaceae;Sporolactobacillus
Jeotgalicoccus	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Jeotgalicoccus
Macrococcus	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Macrococcus
Salinicoccus	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Salinicoccus
Staphylococcus	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus
Laceyella	Bacteria;Firmicutes;Bacilli;Bacillales;Thermoactinomycetaceae;Laceyella
Mechercharimyces	Bacteria;Firmicutes;Bacilli;Bacillales;Thermoactinomycetaceae;Mechercharimyces
Planifilum	Bacteria;Firmicutes;Bacilli;Bacillales;Thermoactinomycetaceae;Planifilum
Shimazuella	Bacteria;Firmicutes;Bacilli;Bacillales;Thermoactinomycetaceae;Shimazuella
Thermoactinomyces	Bacteria;Firmicutes;Bacilli;Bacillales;Thermoactinomycetaceae;Thermoactinomyces
Exiguobacterium	Bacteria;Firmicutes;Bacilli;Bacillales;Unknown;Exiguobacterium
Gemella	Bacteria;Firmicutes;Bacilli;Bacillales;Unknown;Gemella
Pullulanibacillus	Bacteria;Firmicutes;Bacilli;Bacillales;Unknown;Pullulanibacillus
Haloplasma	Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Haloplasma
Turicibacter	Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Turicibacter
Abiotrophia	Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Abiotrophia
Aerococcus	Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Aerococcus
Facklamia	Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Facklamia
Alkalibacterium	Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Alkalibacterium
Alloiococcus	Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Alloiococcus
Carnobacterium	Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Carnobacterium
Desemzia	Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Desemzia
Granulicatella	Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella
Trichococcus	Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Trichococcus
Enterococcus	Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus
Melissococcus	Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Melissococcus
Tetragenococcus	Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Tetragenococcus
Vagococcus	Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Vagococcus
Lactobacillus	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus
Pediococcus	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Pediococcus
Fructobacillus	Bacteria;Firmicutes;Bacilli;Lactobacillales;Leuconostocaceae;Fructobacillus
Leuconostoc	Bacteria;Firmicutes;Bacilli;Lactobacillales;Leuconostocaceae;Leuconostoc
Oenococcus	Bacteria;Firmicutes;Bacilli;Lactobacillales;Leuconostocaceae;Oenococcus
Weissella	Bacteria;Firmicutes;Bacilli;Lactobacillales;Leuconostocaceae;Weissella
Lactococcus	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus
Streptococcus	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus
Thermicanus	Bacteria;Firmicutes;Bacilli;Unknown;Unknown;Thermicanus
Alkaliphilus	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Alkaliphilus
Caloramator	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Caloramator
Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium
